,s1,s2,p-value
220,GFS,GILD,0.006146494821872046
130,DDOG,MRVL,0.006147028393144652
66,ANSS,MDLZ,0.006295586992207342
99,CTAS,KLAC,0.006329232176076916
153,EXC,WBD,0.006543985900868622
57,AMAT,MAR,0.006567151114957815
82,CCEP,NFLX,0.006648809305649611
76,BKNG,WDAY,0.006827953568423947
286,ISRG,PCAR,0.007156079874437432
51,AMAT,AVGO,0.007169555457695484
346,NFLX,PCAR,0.007341686386862834
354,NXPI,VRSK,0.007630321699046855
32,ADSK,INTU,0.007684991863665106
386,VRTX,WDAY,0.00814848369551285
35,ADSK,LRCX,0.008304104246753648
154,FANG,REGN,0.008310683636723121
59,AMAT,NXPI,0.008460269071526376
150,EXC,REGN,0.008563829650082304
343,MRNA,TTWO,0.008695657320387672
42,ADSK,REGN,0.008869834341894157
246,GFS,SBUX,0.008946662998979539
322,MCHP,ORLY,0.009046709477264771
390,WBD,XEL,0.00907567207358559
376,ROP,WDAY,0.009265667384573217
89,CEG,NFLX,0.009373865736651088
30,ADSK,FANG,0.009387411233714584
65,ANSS,CCEP,0.009633971873273882
63,AMD,FAST,0.010122618162580194
156,FANG,XEL,0.010296647950955695
268,HON,REGN,0.010413046915491261
263,GOOGL,MDB,0.010761139379246294
44,ADSK,VRTX,0.010777163501842704
321,MCHP,NFLX,0.010879216224309802
282,ISRG,KLAC,0.011410629330555418
6,ABNB,KLAC,0.011485028340217631
284,ISRG,NXPI,0.0115299516160149
315,MAR,ROP,0.012007348627969318
314,MAR,NXPI,0.012047303063572162
259,GOOG,MDB,0.012188965486561539
256,GFS,ZS,0.012204898330929036
101,CTAS,PCAR,0.012299941542614979
317,MAR,WDAY,0.012307744431194504
49,AEP,PYPL,0.01236286523482654
58,AMAT,NVDA,0.01297322775922786
373,PYPL,WDAY,0.013237295363565209
27,ADSK,CSX,0.013408216341353836
309,LULU,PANW,0.013453121530778942
152,EXC,VRTX,0.013747510976802524
41,ADSK,PDD,0.014060141739763596
359,PANW,TTWO,0.014133363308524572
366,PYPL,ROP,0.014427490206007025
